StopNum,Type,Day,Longitude,Latitude,NumOfPackages
3503,Pickup,Mon,29.4668183,40.7970767,8
3504,Pickup,Mon,29.1054401,40.9665096,2
3505,Delivery,Mon,29.1811556,40.8938602,1
3506,Pickup,Mon,29.3252401,40.9373187,1
3507,Pickup,Mon,29.2344993,40.9953252,1
3508,Delivery,Mon,29.2317304,40.8713161,2
3509,Delivery,Mon,29.4304617,40.7914253,1
3510,Delivery,Mon,29.4301025,40.7919591,1
3511,Pickup,Mon,29.3036504,40.9128997,1
3512,Pickup,Mon,29.3216472,40.9398772,6
3513,Delivery,Mon,29.2992545,40.8474685,1
3514,Pickup,Mon,29.4336287,40.8362855,65
3515,Pickup,Mon,29.259438,40.9847382,4
3516,Pickup,Mon,29.22589,40.8893343,2
3517,Pickup,Mon,29.2634048,40.9790943,2
3518,Pickup,Mon,29.2971216,40.9083669,3
3519,Delivery,Mon,29.1268397,40.8682949,1
3520,Pickup,Mon,29.347186,40.9205689,673
3521,Delivery,Mon,29.1936847,41.0019962,1
3522,Delivery,Mon,29.3091116,40.9159967,1
3523,Pickup,Mon,29.3783128,40.8718663,1
3524,Delivery,Mon,29.2179257,40.8800475,1
3525,Delivery,Mon,29.1702186,40.9891495,1
3526,Pickup,Mon,29.3089501,40.9279069,1
3527,Pickup,Mon,29.3740666,40.8763647,7
3528,Pickup,Mon,29.4003334,40.7734528,1
3529,Delivery,Mon,29.167969,40.9979013,1
3530,Pickup,Mon,29.4016942,40.8894611,137
3531,Delivery,Mon,29.1204168,40.9798825,1
3532,Delivery,Mon,29.1658623,40.9871755,1
3533,Pickup,Tue,29.1752296,40.9188752,87
3534,Delivery,Mon,29.2305751,40.879491,2
